iter	Passed	Remaining
1262	14958	44260
1263	14973	44257
1264	14989	44256
1265	15003	44250
1266	15019	44251
1267	15035	44252
1268	15052	44255
1269	15067	44253
1270	15083	44252
1271	15099	44252
1272	15114	44252
1273	15131	44253
1274	15144	44246
1275	15159	44244
1276	15175	44242
1277	15190	44241
1278	15206	44241
1279	15223	44242
1280	15239	44243
1281	15255	44243
1282	15275	44254
1283	15293	44261
1284	15310	44262
1285	15326	44263
1286	15341	44261
1287	15355	44254
1288	15369	44248
1289	15383	44243
1290	15398	44238
1291	15412	44233
1292	15427	44231
1293	15442	44226
1294	15455	44219
1295	15469	44212
1296	15483	44205
1297	15496	44197
1298	15511	44192
1299	15525	44187
1300	15539	44182
1301	15554	44178
1302	15570	44177
1303	15584	44172
1304	15597	44162
1305	15612	44159
1306	15626	44153
1307	15641	44150
1308	15657	44149
1309	15672	44146
1310	15687	44141
1311	15701	44135
1312	15714	44127
1313	15729	44124
1314	15743	44118
1315	15759	44116
1316	15774	44114
1317	15790	44112
1318	15805	44107
1319	15818	44101
1320	15833	44095
1321	15848	44091
1322	15861	44082
1323	15877	44082
1324	15893	44081
1325	15907	44074
1326	15920	44067
1327	15934	44059
1328	15948	44053
1329	15966	44057
1330	15983	44058
1331	15998	44056
1332	16013	44052
1333	16029	44050
1334	16044	44046
1335	16059	44042
1336	16074	44040
1337	16090	44037
1338	16105	44035
1339	16120	44030
1340	16134	44023
1341	16149	44021
1342	16163	44014
1343	16178	44008
1344	16193	44004
1345	16208	44000
1346	16220	43990
1347	16234	43982
1348	16247	43972
1349	16261	43965
1350	16275	43959
1351	16288	43949
1352	16302	43942
1353	16315	43933
1354	16329	43926
1355	16343	43920
1356	16358	43915
1357	16374	43914
1358	16387	43905
1359	16401	43897
1360	16415	43891
1361	16431	43889
1362	16445	43882
1363	16462	43882
1364	16478	43882
1365	16493	43878
1366	16512	43883
1367	16527	43879
1368	16540	43870
1369	16554	43863
1370	16568	43856
1371	16582	43849
1372	16597	43845
1373	16610	43836
1374	16625	43829
1375	16636	43815
1376	16648	43804
1377	16661	43793
1378	16673	43782
1379	16686	43772
1380	16699	43762
1381	16711	43749
1382	16723	43738
1383	16737	43729
